traditional,simplified,pinyin,jyutping,definition
撉,撉,dun1,dan3,to strike with the fist/to thump/to jolt
撚,撚,nian3,nin2,"to twirl / twist with fingers/to hold/a wick/a type of plucking method for the pipa, a traditional Chinese instrument"
撚,撚,nian3,nan2,"to play tricks on or toy with/delicate/exquisite (Cantonese)/to be good at/dick, the penis/fucking"
撠,撠,ji3,gik1,"verb; strike, stab, grasp; stuck"
撠,撠,ji3,gik1,to stab/to contact/to seize
攎,攎,lu2,lou4,to take hold; to curb; to exercise restraint
攎,攎,Lu2,lo4,picking; selection
新地,新地,xin1 di4,san1 dei2,sundae (loanword)
新地,新地,Xin1 di4,san1 dei6,a new found empty area
橦,橦,tong2,tung4,silk cotton tree
橦,橦,tong2,cong4,mast
櫼,櫼,jian1,cim1,wood block / wedge/a toothpick
櫼,櫼,jian1,cim1,(adjective) slim; slender
油瓶,油瓶,you2 ping2,jau4 peng2,step children
油瓶,油瓶,you2 ping2,jau4 ping4,oil bottle
渜,渜,nuan3,nyun5,hot water
渜,渜,nuan3,nan1,watery stools
瀄,瀄,zhi4,zit1,(Cant.) to squeeze/to eject/to spray
瀄,瀄,zhi4,zit3,to splash/to splatter/to spatter
狌,狌,sheng1,sing1,"an alternative form for 猩, orangutan"
狌,狌,sheng1,sang1,"an alternative form for 鼪, weasel"
獦,獦,ge2,hot3,"an alternative form for 猲,dog with a short snout"
獦,獦,ge2,got3,a type of large wolf/a derogatory term for the name of a tribe in the past
獦,獦,ge2,lip3,"a surname/an alternative form for 獵, to hunt"
生部,生部,sheng1 bu4,sang1 bou6,Kangxi radical 100
生部,生部,sheng1 bu4,saang1 bou2,describe something unfamiliar (such as a person or environment)
田雞東,田鸡东,Tian2 ji1 dong1,tin4 gai1 dung1,"to go dutch; splitting the bill at meal gatherings; Tang Lai Tung, the name of a triad member"
田雞東,田鸡东,tian2 Ji1 dong1,tin4 gai1 dung1,"Tang Lai Tung, name of a triad member; to go dutch; splitting the bill at meal gatherings"
當我,当我,dang1 wo3,dong3 ngo5,to take me as; to treat me as [colloquial]
當我,当我,dang1 wo3,dong1 ngo5,when I [written]
瘦骨如柴,瘦骨如柴,Shou4 gu3 ru2 chai2,sau3 gwat1 jyu4 caai4,(adjective) skinny; scrawny
瘦骨如柴,瘦骨如柴,shou4 gu3 ru2 chai2,sau3 gwat1 jyu4 caai4,very thin; as thin as a stick
眼矇矇,眼蒙蒙,yan3 meng2 meng2,ngaan5 mung4 mung4,bleary-eyed
眼矇矇,眼矇矇,Yan3 meng2 meng2,ngaan5 mung4 mung4,blurring of vision
睡夢,睡梦,shui4 meng4,seoi6 mung6,dream(s) (whilst sleeping)
睡夢,睡梦,shui4 meng4,seoi6 mung6,Dream
睩,睩,lu4,luk1,to look/to glance/to roll the eyes/to stare
睩,睩,lu4,luk1,rolling (eyes)
矮𠱂𠱂,矮𠱂𠱂,Ai3 tu1 tu1,ai2 dat1 dat1,(adjective) very short
矮𠱂𠱂,矮𠱂𠱂,ai3𠱂𠱂,ai2 dat1 dat1,very short (of a person) [colloquial]
祖廟,祖庙,Zu3 miao4,zou2 miu6,(noun) the temple or mausoleum to enshrine ancestors
祖廟,祖庙,zu3 miao4,zou2 miu2,Ancestral temple
禁做,禁做,jin4 zuo4,gam3 zou6,not easily done
禁做,禁做,jin4 zuo4,gam2 zou6,done this way
禁色,禁色,jin4 se4,gam3 sik1,not allow to have sex
禁色,禁色,jin4 se4,kam1 sik1,a long lasting color that doesn't wear off or fade away easily
穿櫃桶底,穿柜桶底,chuan1 gui4 tong3 di3,cyun1 gwai6 tung2 dai2,to embezzle funds
穿櫃桶底,穿柜桶底,chuan1 gui4 tong3 di3,cyun1 gwai6 tung2 dai2,embezzlement; to embezzle
窉,窉,bing3,beng3,(Cant.) to hide things/to conceal
窉,窉,bing3,bing2,the third month in lunar calender/fright/cave
篸,篸,can3,cam1,vertical bamboo flute/staggered
篸,篸,can3,caam2,a type of dustpan/open ended loop in finger prints/hod/scuttle/a basket
篸,篸,can3,zaam1,a hairclasp/to wear in hair
細佬,细佬,xi4 lao3,sai3 lou2,younger brother
細佬,细佬,Xi4 lao3,sai3 lou2,(noun of sibling) younger brother; slang for penis
細路,细路,Xi4 lu4,sai3 lou6,"(slang) kids, children; child; kid"
細路,细路,xi4 lu4,sai3 lou6,kid
繑,繑,qiao1,hiu1,sew
繑,繑,qiao1,hiu1,to entwine/to cross one's arms or legs/to loop one's arm into the crook of someone's arm
老翻,老翻,lao3 fan1,lou5 faan1,"(n.) refers to illegal / pirated copies of something, such as CDs or handbags; (adj.) to describe something that is counterfeited"
老翻,老翻,Lao3 fan1,lou5 faan1,pirated goods
肉刺,肉刺,rou4 ci4,juk6 cek3,"heartache, to be averse to wasting or losing something, especially money or property"
肉刺,肉刺,rou4 ci4,juk6 ci3,hangnail; agnail
脟,脟,lie4,lyun5,"an alternative form for 臠, sliced meat"
脟,脟,lie4,lyut3,rib muscle/intestinal fat
膠袋,胶袋,jiao1 dai4,gaau1 doi2,Plastic bags
膠袋,胶袋,jiao1 dai4,gaau1 doi2,(noun) a plastic bag
臺灣人,台灣人,Tai2 wan1 ren2,toi4 waan1 jan4,Taiwanese
臺灣人,台湾人,Tai2 wan1 ren2,toi4 waan1 jan4,Taiwanese people
茺,茺,chong1,cung1,motherwort
茺,茺,chong1,cung1,Leonurus japonicus
落臺,落台,luo4 tai2,lok6 toi4,To leave the stage
落臺,落台,luo4 tai2,lok6 toi4,to step down; to resign
落面,落面,luo4 mian4,lok6 min2,lose face
落面,落面,luo4 mian4,lok6 min2,a situation where a person's dignity has been humiliated causing him/her to lose 'face' in front of others
蓨,蓨,tiao1,tiu1,tasselflower (Emilia sonchifolia)
蓨,蓨,tiao1,sau1,Seedlin
蓨,蓨,tiao1,tiu4,ancient place name in Hebei Province
行床,行床,xing2 chuang2,hang4 cong4,to have sex
行床,行床,xing2 chuang2,hong4 cong4,to lay out a temporary bed
行檔,行档,hang2 dang4,hong4 dong3,trade or profession; the role types in traditional Chinese opera; hope; expectation
行檔,行档,hang2 dang4,haang4 dong3,post or position
西北風,西北风,xi1 bei3 feng1,sai1 bak1 fung1,Northwest wind; means 'air / nothing' when used in the expression 'to eat northwest wind'
西北風,西北风,xi1 bei3 feng1,sai1 bak1 fung1,Northwest wind: means 'air / nothing' when used in the expression 'to eat northwest wind'
見牙唔見眼,见牙唔见眼,jian4 ya2 n2 jian4 yan3,gin3 ngaa4 m4 gin3 ngaan5,to have a big grin on one's face [colloquial]; literally 'can see the teeth but not the eyes'
見牙唔見眼,见牙唔见眼,jian4 ya2 n2 jian4 yan3,gin3 ngaa4 m4 gin3 ngaan5,to have a big grin on one's face [colloquial]
講耶穌,讲耶稣,jiang3 Ye1 su1,gong2 je4 sou1,to preach; to lecture
講耶穌,讲耶稣,Jiang3 Ye1 su1,gong2 je4 sou1,(verb) to preach; to lecture; to bull shit about (usually when referring to talk that others are not interested in or they consider to be a waste of time)
講道理,讲道理,Jiang3 dao4 li,gong2 dou6 lei5,to reason things out; to reason with
講道理,讲道理,jiang3 dao4 li3,gong2 dou6 lei5,To reason things out
財政政策,财政政策,cai2 zheng4 zheng4 ce4,coi4 zing3 zing3 caak3,fiscal policy
財政政策,财政政策,cai2 zheng4 zheng4 ce4,coi4 zing3 zing3 caak3,financial policy
賞罰分明,赏罚分明,shang3 fa2 fen1 ming2,soeng2 fat6 fan1 ming4,to reward and punish fairly; fair treatment
